code,name,parent_code,level,display_order,source
C14-01,Sprinkler System,C14,2,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C14-01-01,Sprinkler Pipe (GI),C14-01,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C14-01-02,Sprinkler Head,C14-01,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C14-02,Fire Fighting Equipment,C14,2,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C14-02-01,Fire Hose Reel Set,C14-02,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C14-02-02,Hydrant Valve,C14-02,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C14-02-03,Fire Extinguisher,C14-02,3,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C14-03,Fire Alarm System,C14,2,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C14-03-01,Fire Alarm Device,C14-03,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15,"MEP - ELV, ICT & Security",,1,15,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-01,Structured Cabling,C15,2,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-01-01,Data Cable,C15-01,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-01-02,Fiber Optic Cable,C15-01,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-01-03,Patch Panel,C15-01,3,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-02,Security & Surveillance,C15,2,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-02-01,CCTV Camera,C15-02,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-02-02,Access Control,C15-02,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-02-03,Network Switch,C15-02,3,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-03,Public Address,C15,2,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-03-01,PA Speaker,C15-03,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C15-03-02,PA Amplifier,C15-03,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16,External Works & Roads,,1,16,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-01,Roads & Pavements,C16,2,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-01-01,Asphalt Mix,C16-01,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-01-02,Road Base,C16-01,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-01-03,Concrete Paver,C16-01,3,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-01-04,Kerb,C16-01,3,4,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-02,Drainage,C16,2,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-02-01,RC Pipe,C16-02,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-02-02,uPVC Drain Pipe,C16-02,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-02-03,Manhole Cover,C16-02,3,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-02-04,Grating,C16-02,3,4,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-03,Street Furniture,C16,2,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-03-01,Street Lighting Pole,C16-03,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C16-03-02,Road Marking Paint,C16-03,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C17,Utilities,,1,17,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C17-01,Water Supply,C17,2,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C17-01-01,Ductile Iron Pipe,C17-01,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C17-01-02,HDPE Water Pipe,C17-01,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C17-02,Sewer,C17,2,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C17-02-01,uPVC Sewer Pipe,C17-02,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C17-03,Power & Telecom Ducts,C17,2,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C17-03-01,HDPE Duct,C17-03,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C17-03-02,PVC Duct,C17-03,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C18,Landscaping & Irrigation,,1,18,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C18-01,Soft Landscaping,C18,2,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C18-01-01,Turf,C18-01,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C18-01-02,Plants,C18-01,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C18-01-03,Planting Soil,C18-01,3,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C18-02,Irrigation,C18,2,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C18-02-01,Irrigation Pipe,C18-02,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C18-02-02,Irrigation Sprinkler,C18-02,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19,Temporary Works & Safety,,1,19,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19-01,Scaffolding,C19,2,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19-01-01,Scaffold Tube,C19-01,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19-01-02,Scaffold Coupler,C19-01,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19-01-03,Scaffold Base Plate,C19-01,3,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19-01-04,Scaffold Plank,C19-01,3,4,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19-02,Safety,C19,2,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19-02-01,Safety Net,C19-02,3,1,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19-02-02,Safety Mesh,C19-02,3,2,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
C19-02-03,Guardrail,C19-02,3,3,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
